Condutividade,DO,pH,ORP,Profundidade,Temperatura,Turbidez,Clorofila
152.54,8.04,8.31,204.83,0.4,29.06,2.07,27.41
138.31,8.36,8.47,200.01,0.4,29.27,6.66,30.41
152.02,8.66,8.61,201.9,0.4,29.37,22.01,34.04
152.6,8.71,8.71,200.47,0.39,29.48,23.76,31.33
154.92,8.95,8.7,195.6,0.4,29.59,25.34,32.88
154.15,8.16,8.6,220.19,0.4,29.64,21.12,28.57
154.04,7.64,8.45,243.58,0.4,29.53,20.64,26.37
153.08,7.32,8.44,233.77,0.36,29.09,18.9,30.25
155.0,8.77,9.02,254.08,0.3,29.28,73.9,39.44
152.92,6.57,8.16,238.01,0.35,28.62,152.64,30.87
152.73,4.05,7.38,244.97,0.4,27.94,242.87,21.3
151.69,1.93,7.15,250.63,0.4,27.34,221.28,17.7
150.31,3.13,7.16,241.6,0.4,26.92,198.53,15.35
149.29,4.31,7.28,239.09,0.4,26.55,187.96,18.49
149.96,4.91,7.38,243.51,0.4,26.14,151.75,18.52
150.15,6.79,7.9,248.41,0.4,26.38,143.89,22.22
150.1,7.75,8.15,252.55,0.39,26.57,123.79,25.97
148.83,7.78,8.05,245.58,0.4,26.52,158.08,26.71
148.56,6.57,7.54,233.43,0.4,26.31,210.43,23.3
148.44,7.15,7.72,218.73,0.4,26.46,216.49,25.33
146.7,6.79,7.57,207.84,0.4,26.32,208.22,23.71
145.0,8.77,8.26,110.7,0.4,26.79,2.59,30.2
145.54,8.06,7.79,114.9,0.4,26.39,2.68,31.67
145.88,7.62,7.55,114.55,0.45,26.1,3.0,30.81
145.23,5.51,6.95,111.15,0.5,25.38,3.51,17.72
144.77,5.49,6.96,104.8,0.5,24.9,2.61,16.96
143.83,5.93,7.01,103.01,0.5,24.52,2.5,17.85
144.63,6.6,7.11,115.89,0.5,24.33,2.14,20.28
145.15,6.34,7.19,117.82,0.45,24.17,1.64,17.58
145.54,6.74,7.45,107.12,0.38,24.44,1.06,16.95
145.88,7.05,7.54,106.66,0.36,24.57,0.72,18.89
144.67,7.18,7.52,106.93,0.35,24.55,0.86,19.49
146.35,7.69,7.77,101.0,0.39,24.86,0.81,24.44
145.65,7.54,7.64,98.96,0.4,25.13,0.3,18.7
141.59,6.75,7.38,105.94,0.39,24.84,0.42,19.41
140.21,6.26,7.31,101.41,0.37,24.72,0.39,17.2
140.35,6.01,7.25,100.48,0.4,24.45,0.46,16.88
142.21,5.69,7.31,97.58,0.4,24.47,0.28,14.75
143.09,6.62,7.48,99.78,0.4,24.74,0.31,17.57
142.32,8.24,8.09,102.68,0.33,25.19,1.78,20.4
141.06,8.03,8.04,101.54,0.32,25.46,2.4,18.72
137.69,8.57,8.28,99.91,0.3,25.21,2.9,23.9
137.04,8.15,8.01,101.57,0.37,25.05,3.11,20.64
141.44,7.76,7.78,120.71,0.37,25.19,2.24,13.61
140.73,6.82,7.4,114.75,0.32,24.99,1.82,15.32
138.98,6.91,7.47,112.66,0.36,25.01,2.22,15.95
138.83,4.98,7.08,108.67,0.4,24.31,2.17,11.06
138.93,4.72,6.91,110.2,0.4,23.79,1.37,9.83
138.81,4.64,6.73,99.52,0.4,23.48,0.82,9.66
139.88,4.87,6.75,98.16,0.4,23.59,0.86,10.79
141.88,5.54,6.84,100.78,0.36,24.08,1.03,12.32
141.44,6.52,7.05,100.3,0.37,24.19,1.44,16.01
141.71,6.8,7.05,101.2,0.4,23.85,1.9,21.64
139.17,7.08,7.21,98.45,0.4,23.98,1.75,16.93
138.31,6.75,7.07,104.26,0.36,23.58,2.21,27.71
137.27,6.01,6.87,106.17,0.4,23.33,2.38,23.93
138.9,4.56,6.69,97.91,0.4,23.2,1.12,8.07
139.13,4.21,6.68,95.81,0.4,23.04,1.1,8.31
136.77,5.21,6.78,99.58,0.4,22.59,1.27,13.45
137.04,4.89,6.75,99.55,0.4,22.41,1.03,10.88
135.44,5.28,6.8,100.15,0.44,21.95,1.09,13.14
135.52,5.8,6.9,100.93,0.41,21.73,1.05,14.24
134.27,5.7,6.88,103.55,0.35,21.38,1.34,10.98
132.67,6.1,6.92,106.76,0.31,20.86,1.41,13.51
136.16,6.75,7.21,123.12,0.4,21.22,1.51,15.01
136.46,7.14,7.33,114.83,0.4,21.04,1.33,11.75
138.79,7.82,7.6,104.68,0.4,21.41,1.49,13.66
142.91,10.29,8.54,95.24,0.4,22.27,2.53,26.82
142.81,11.27,9.12,89.07,0.4,22.43,3.11,15.88
140.91,10.6,8.98,90.72,0.4,22.36,2.57,7.17
143.09,9.52,8.34,111.44,0.35,22.56,2.01,2.91
139.85,7.78,7.43,118.4,0.31,21.73,1.71,12.99
136.09,6.85,7.23,111.08,0.39,21.04,2.2,26.32
136.74,6.07,7.09,109.69,0.4,20.66,2.65,30.07
138.42,6.8,7.23,115.48,0.4,20.71,2.16,19.53
139.83,6.73,7.21,111.77,0.38,20.83,1.57,7.29
139.94,7.05,7.26,106.6,0.4,20.89,0.9,8.81
141.4,7.2,7.29,114.82,0.4,21.07,0.87,8.07
142.28,7.13,7.25,125.17,0.36,21.09,0.9,6.71
139.43,6.35,7.13,110.73,0.4,20.58,1.0,11.4
139.77,6.12,7.13,106.94,0.39,20.63,0.98,13.59
140.74,6.43,7.2,105.36,0.4,20.72,1.4,20.09
142.85,6.26,7.13,119.92,0.4,21.15,1.22,13.4
141.96,6.22,7.1,124.71,0.35,20.79,1.34,10.19
135.92,6.03,6.98,125.61,0.35,20.47,1.28,11.86
130.69,6.21,7.01,114.08,0.49,20.55,1.33,16.58
129.66,5.45,6.91,106.46,0.5,20.27,1.35,15.74
128.72,4.76,6.84,102.91,0.5,20.01,1.25,13.19
128.0,4.4,6.78,102.09,0.41,19.88,1.01,11.36
126.23,6.22,6.9,122.67,0.4,18.79,1.53,15.36
126.43,6.43,6.99,115.08,0.45,18.73,1.51,13.42
126.87,6.3,6.96,115.11,0.43,18.63,1.43,11.83
126.29,6.74,7.01,113.98,0.4,18.54,1.45,15.12
125.68,7.24,7.09,114.11,0.4,18.57,2.03,25.29
125.81,8.08,7.38,111.84,0.4,18.81,2.32,32.87
126.36,8.12,7.3,119.55,0.4,18.9,2.92,42.71
127.53,8.21,7.36,123.2,0.52,19.1,2.92,37.35
127.38,7.14,7.07,135.79,0.6,18.92,1.71,16.97
127.24,6.98,7.11,127.48,0.57,18.86,1.93,25.22
129.4,7.19,7.16,146.48,0.51,19.34,1.07,11.42
135.11,9.28,7.9,118.12,0.42,19.98,1.29,11.74
136.03,10.2,8.42,98.06,0.38,19.8,2.03,23.6
133.94,10.02,8.4,100.72,0.4,19.77,3.11,41.48
132.28,9.05,7.94,120.5,0.38,19.84,3.52,47.93
131.44,9.32,7.87,116.57,0.38,20.49,3.4,47.26
130.74,7.98,7.37,122.62,0.4,19.98,2.24,28.51
127.97,6.61,7.06,135.8,0.4,19.23,2.03,24.39
127.48,5.91,7.01,142.29,0.4,18.77,1.84,21.4
128.06,5.92,7.03,147.88,0.4,18.7,1.67,6.91
129.58,5.38,6.97,177.7,0.39,18.87,0.92,2.7
133.5,6.21,7.13,160.04,0.37,19.06,2.11,17.44
134.09,5.62,7.04,156.96,0.33,19.39,1.75,14.17
134.55,5.87,7.05,155.62,0.3,19.58,0.73,4.33
134.85,6.24,7.09,152.62,0.3,19.74,0.65,5.59
135.74,6.49,7.13,151.28,0.3,19.83,0.82,8.65
137.12,8.14,7.45,151.73,0.3,20.28,1.14,14.15
132.76,6.56,7.09,152.82,0.3,19.48,1.05,11.18
131.94,6.89,7.15,146.68,0.3,19.16,1.46,17.68
131.62,7.05,7.11,143.01,0.33,18.91,1.08,20.92
133.46,5.42,6.71,127.68,0.5,18.45,1.8,11.08
132.35,5.58,6.73,123.81,0.5,18.33,1.75,11.68
132.63,5.74,6.75,122.64,0.5,18.33,1.71,11.54
133.65,6.08,6.79,121.28,0.5,18.36,1.66,12.57
134.35,5.99,6.79,120.84,0.5,18.36,1.69,13.38
135.38,6.59,6.87,124.0,0.48,18.66,1.75,16.12
135.08,7.42,7.0,129.95,0.45,18.72,1.84,20.8
133.94,7.72,7.01,137.02,0.41,18.53,2.19,28.82
133.48,7.3,7.02,156.22,0.48,18.49,2.37,25.64
133.13,6.35,6.81,188.96,0.5,18.11,2.09,21.72
134.54,6.98,6.98,168.7,0.44,18.14,1.86,22.13
137.19,8.06,7.4,129.62,0.38,18.61,1.67,21.59
136.15,8.55,7.37,125.9,0.33,18.39,1.99,27.38
133.58,8.23,7.23,127.6,0.3,18.1,2.22,29.88
133.63,8.14,7.32,123.6,0.32,18.08,2.84,34.72
132.81,6.81,7.0,123.2,0.37,17.77,2.58,28.51
132.0,6.72,7.0,122.28,0.41,17.59,2.78,30.87
131.17,6.93,7.03,121.11,0.45,17.41,2.68,28.81
131.4,6.81,7.01,119.85,0.45,17.22,2.73,29.24
132.75,7.5,7.25,119.67,0.4,17.6,2.69,27.11
134.63,8.18,7.46,130.36,0.38,17.9,2.25,22.06
135.29,9.88,8.22,118.31,0.33,18.37,2.13,15.51
137.6,10.44,8.54,110.63,0.3,18.92,3.78,19.39
140.79,9.54,8.1,117.03,0.3,19.44,3.81,14.51
139.77,8.92,7.69,122.34,0.31,19.55,2.99,13.84
136.58,6.88,7.02,131.91,0.4,18.66,2.76,13.77
133.3,6.28,7.1,130.28,0.4,18.22,2.49,15.71
133.65,7.03,7.38,117.7,0.4,18.76,2.2,16.76
131.52,7.34,7.39,113.45,0.4,18.21,2.67,24.6
130.96,6.07,7.17,113.19,0.4,17.79,2.53,19.46
132.54,7.54,7.62,112.4,0.35,18.43,2.96,23.76
136.1,9.47,8.49,107.83,0.32,19.23,3.26,28.33
138.42,10.33,9.04,103.04,0.3,19.74,3.55,29.24
135.31,7.96,7.88,114.12,0.37,18.99,3.74,27.13
130.65,6.02,7.17,123.51,0.42,17.85,4.03,23.79
131.15,6.31,7.23,122.29,0.43,17.75,3.96,18.98
130.96,6.24,7.22,128.24,0.4,17.66,3.5,16.72
132.67,6.51,7.24,146.18,0.4,18.21,2.95,17.2
132.17,7.34,7.35,152.36,0.39,18.37,3.33,22.96
131.21,7.27,7.35,139.75,0.4,18.13,3.66,30.58
130.67,7.11,7.32,138.76,0.4,18.03,3.71,26.98
142.22,8.72,7.67,132.99,0.24,20.6,3.13,22.69
138.27,8.5,7.59,128.45,0.22,20.44,3.01,24.45
137.83,8.5,7.6,128.07,0.2,20.21,3.23,26.95
140.77,8.75,7.84,126.73,0.2,20.43,3.43,33.25
141.44,9.01,8.07,117.42,0.2,20.81,3.64,40.51
138.52,8.56,7.69,120.95,0.21,20.49,3.5,49.8
136.17,7.76,7.42,123.7,0.25,19.75,3.66,54.27
133.6,6.7,7.17,125.31,0.3,18.63,3.73,49.03
134.98,7.42,7.39,118.55,0.29,19.14,3.7,48.18
135.75,7.23,7.23,127.5,0.21,18.94,3.98,51.16
135.71,7.05,7.22,122.35,0.2,19.17,3.77,47.25
138.48,8.26,7.66,117.29,0.2,19.96,4.06,55.62
137.46,7.75,7.37,123.43,0.23,19.79,4.27,60.01
136.92,7.38,7.21,128.87,0.3,19.39,4.48,62.1
136.96,7.76,7.3,122.69,0.3,19.11,4.74,66.14
138.69,8.73,7.82,113.6,0.28,19.45,4.72,69.23
142.29,9.77,8.38,106.78,0.28,20.42,4.61,67.9
142.56,9.88,8.53,103.62,0.3,20.63,4.59,68.39
145.21,10.02,8.67,101.77,0.25,21.42,4.45,60.12
143.1,9.48,8.44,103.98,0.2,20.87,4.73,64.76
145.6,9.21,8.37,103.57,0.21,21.74,5.3,52.81
145.02,8.03,7.55,115.99,0.26,21.3,5.24,55.38
146.13,8.47,7.82,114.44,0.26,21.71,5.16,51.72
149.0,9.35,8.35,108.28,0.22,22.8,4.71,46.71
148.6,8.8,8.09,110.72,0.2,22.36,4.77,45.82
146.96,8.55,7.92,114.61,0.21,22.11,4.49,46.01
142.85,7.34,7.28,120.85,0.28,21.19,4.35,43.34
143.88,7.61,7.4,129.12,0.21,21.01,4.41,40.43
146.65,7.48,7.32,138.39,0.25,20.97,4.72,42.52
147.35,6.79,7.16,137.78,0.3,20.59,4.76,41.13
147.31,6.92,7.2,130.65,0.3,20.6,4.65,38.28
145.33,7.04,7.21,130.31,0.35,20.35,4.35,34.62
148.58,7.9,7.55,127.41,0.3,20.94,4.3,34.3
147.63,8.17,7.52,131.87,0.3,20.69,4.33,39.89
149.4,8.51,7.82,124.41,0.3,21.0,4.12,44.85
148.46,8.11,7.51,133.16,0.3,20.81,4.18,45.69
148.21,7.82,7.43,133.12,0.3,20.62,4.52,45.84
148.21,7.35,7.26,135.55,0.3,20.63,5.19,44.5
149.04,7.58,7.31,133.76,0.3,20.89,4.55,45.03
153.25,8.55,7.85,120.92,0.3,21.96,3.76,42.1
154.63,8.73,7.88,117.05,0.31,22.21,3.72,46.12
152.92,7.36,7.24,125.24,0.4,21.48,4.32,39.56
150.22,7.08,7.16,129.53,0.4,20.95,4.13,33.84
150.0,7.22,7.18,135.32,0.4,20.33,3.94,31.03
148.13,7.57,7.28,131.32,0.4,19.98,3.88,31.31
148.0,7.84,7.43,128.87,0.38,19.97,3.75,31.06
148.94,8.23,7.64,128.02,0.3,20.24,3.53,33.17
150.31,8.74,7.94,127.43,0.3,20.86,3.13,31.33
154.56,9.14,8.21,131.96,0.3,21.97,2.98,33.04
153.4,9.75,8.8,138.24,0.3,22.48,2.8,33.3
153.65,10.16,9.26,141.25,0.3,23.41,2.78,35.26
153.75,9.76,9.19,142.5,0.3,23.62,2.94,35.21
160.79,10.18,9.36,160.56,0.3,25.28,3.28,28.55
155.27,10.24,9.47,145.12,0.3,24.67,3.29,39.57
150.08,8.63,8.65,135.78,0.3,23.26,3.39,40.39
154.08,8.71,8.64,145.54,0.3,23.83,3.4,37.85
155.1,9.02,8.79,149.77,0.3,24.2,3.63,42.92
153.79,8.54,8.54,145.42,0.3,23.86,3.86,45.85
153.96,8.4,8.37,142.71,0.28,23.75,4.14,47.41
151.58,7.59,7.84,144.2,0.3,23.27,4.98,45.92
149.02,6.82,7.53,147.66,0.3,22.41,5.21,45.86
145.83,6.82,7.5,149.35,0.32,21.81,5.07,46.81
147.75,7.58,7.83,151.63,0.3,21.84,4.01,49.58
150.02,8.87,8.3,158.69,0.3,22.42,3.66,52.51
150.58,8.8,8.4,151.89,0.3,22.42,3.8,53.64
149.96,8.89,8.38,149.48,0.3,22.34,3.93,54.84
149.23,8.09,7.98,145.86,0.3,22.24,4.07,50.5
150.83,8.29,8.16,152.61,0.3,22.62,4.45,50.74
155.77,9.57,8.73,158.84,0.26,23.51,548.5,55.92
158.92,10.36,9.38,152.15,0.22,24.23,738.96,60.72
159.06,9.77,9.29,157.91,0.3,24.6,294.66,62.05
159.23,9.17,9.19,159.68,0.3,24.82,56.62,60.5
160.04,8.83,9.06,164.43,0.3,24.88,5.98,60.7
161.63,8.56,8.94,165.18,0.29,25.1,5.93,53.27
159.44,7.69,8.37,164.24,0.26,24.62,5.5,49.2
156.6,6.34,7.69,162.89,0.3,23.99,5.83,39.93
156.38,5.84,7.76,159.95,0.3,23.71,5.74,37.16
157.5,6.42,7.67,158.39,0.29,23.93,4.77,36.54
158.15,7.11,7.83,155.26,0.29,24.1,4.94,43.26
157.56,6.64,7.71,157.05,0.3,23.97,4.63,43.03
157.29,6.3,7.6,155.53,0.3,23.73,4.77,45.35
164.23,7.98,8.27,161.64,0.2,24.3,4.01,47.42
164.63,8.81,8.71,146.92,0.2,24.26,3.77,49.73
165.96,9.05,8.88,145.2,0.2,24.55,3.65,48.45
163.35,6.85,7.73,159.53,0.27,23.61,4.23,47.03
162.02,7.34,7.84,153.44,0.3,22.95,4.23,56.0
162.65,7.94,8.02,150.41,0.3,22.81,4.11,59.03
162.15,8.17,8.17,144.81,0.3,22.52,4.04,62.51
162.4,8.76,8.57,153.85,0.3,22.69,3.84,59.82
165.15,9.66,9.11,145.8,0.28,23.45,3.95,53.42
165.08,9.22,9.19,143.71,0.3,23.61,4.19,49.49
168.42,8.99,9.16,141.24,0.29,24.17,3.87,38.33
168.92,8.84,9.05,144.8,0.25,24.28,3.66,35.13
169.08,8.13,8.47,152.72,0.27,24.07,3.54,34.63
166.42,6.23,7.71,147.4,0.3,23.53,4.85,36.56
169.44,7.07,8.03,157.27,0.23,24.22,4.51,41.88
167.48,6.9,7.85,157.74,0.2,24.41,7.0,49.06
166.52,7.36,7.96,161.46,0.25,24.38,8.46,53.97
166.26,6.71,7.79,154.65,0.3,24.03,6.7,54.45
166.46,6.19,7.67,159.24,0.3,23.62,5.53,54.23
168.58,7.02,7.99,160.04,0.3,23.98,4.58,55.59
172.58,8.29,8.57,154.11,0.29,24.69,4.18,60.55
172.92,8.23,8.69,143.43,0.28,24.93,4.15,63.55
172.79,7.96,8.64,134.59,0.26,25.06,4.39,62.27
171.71,6.74,8.05,139.91,0.28,24.6,4.54,58.3
168.9,5.31,7.61,138.02,0.3,23.69,4.01,50.25
169.42,6.42,7.87,145.37,0.3,23.6,3.56,47.19
173.23,8.48,8.74,136.47,0.3,24.73,3.28,41.63
176.02,9.21,9.13,139.54,0.3,25.47,3.41,44.73
174.13,9.29,9.32,139.88,0.27,25.49,3.27,53.57
171.21,8.52,9.07,141.4,0.25,25.15,3.06,55.6
171.88,7.62,8.61,143.54,0.27,25.08,10.23,46.63
171.83,7.86,8.54,143.27,0.26,25.34,5.48,42.96
169.38,6.57,7.97,156.05,0.2,24.86,12.0,40.3
167.6,6.68,7.9,161.11,0.23,24.43,6.7,45.1
166.3,6.44,7.83,163.29,0.3,24.08,4.66,44.3
167.56,7.24,7.98,169.79,0.3,24.2,5.4,47.25
170.02,8.2,8.53,164.69,0.26,24.68,4.97,50.51
169.42,9.24,9.13,175.42,0.21,25.48,4.16,50.2
168.5,8.79,9.13,174.76,0.2,25.24,3.29,52.81
168.1,8.22,8.79,190.91,0.2,25.08,2.94,49.47
168.13,8.34,8.9,219.22,0.2,25.36,3.09,50.39
167.48,7.53,8.47,229.74,0.24,25.49,3.17,44.38
169.44,6.27,7.86,309.79,0.3,25.03,3.53,35.83
167.23,5.2,7.71,353.67,0.3,24.35,5.5,25.53
167.56,5.21,7.7,351.62,0.3,24.68,3.02,19.24
169.33,5.29,7.82,310.17,0.3,25.24,2.35,15.4
173.58,6.51,8.41,303.72,0.3,26.82,1.93,18.1
176.98,8.25,9.13,296.84,0.26,27.58,2.0,25.96
180.62,7.82,9.01,295.13,0.25,27.62,1.76,28.25
150.28,9.1,8.19,81.34,0.1,23.73,4.08,27.38
147.69,7.22,7.59,65.57,0.11,23.06,5.21,44.09
146.33,7.03,7.51,57.76,0.16,22.65,5.87,57.11
144.65,6.91,7.46,55.9,0.2,22.19,5.03,48.25
142.6,7.14,7.43,53.67,0.2,21.74,4.22,30.95
146.75,9.79,8.18,49.4,0.13,23.1,5.19,38.23
149.04,12.08,8.81,41.72,0.1,23.84,7.01,51.74
145.56,11.42,8.63,43.36,0.12,23.53,8.75,83.3
143.88,8.59,7.75,78.12,0.15,22.97,5.11,29.73
146.23,7.95,7.51,103.29,0.15,23.33,4.27,16.37
142.65,9.19,8.03,89.88,0.16,23.51,4.57,32.03
144.6,7.74,7.49,76.97,0.19,23.5,3.49,16.83
